#,Question,Response One,buysExpensiveThings,buysInexpensiveThings,interestedInFashion,interestedInTechnology,earlyAdopter,lateAdopter,perceivedAsTeenager,perceivedAsYoungAdult,perceivedAsAdult,Response Two,buysExpensiveThings,buysInexpensiveThings,interestedInFashion,interestedInTechnology,earlyAdopter,lateAdopter,perceivedAsTeenager,perceivedAsYoungAdult,perceivedAsAdult,Response Three,buysExpensiveThings,buysInexpensiveThings,interestedInFashion,interestedInTechnology,earlyAdopter,lateAdopter,perceivedAsTeenager,perceivedAsYoungAdult,perceivedAsAdult,Response Four (Skip Question),Details
11,Do you know what Custo Barcelona is?,Yes,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,Fashion vs. No Fashion
12,Do you like Haski or Chihuahua?,Hasaki,0,0,1,0,0,0,0,0,0,Chihuahua,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"If one chooses Chihuahua, she probably likes cute things."
13,Do you like water or juice?,Water,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,We can get the user's taste from this question.
14,Do you prefer BMW or Mercedes Benz?,BMW,1,-1,1,1,0,0,0,0,0,Mercedes Benz,1,-1,1,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,Fashion vs. Functional
15,Do you prefer Linux or Mac OS,Linux,0,0,-1,1,0,0,0,0,0,Mac OS,1,0,1,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,Functional vs Fashionable
16,Do you regularly moisturize your skin after you take a shower?,Yes,1,-1,1,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,
17,Do you use FourSquare?,Yes,0,0,0,1,1,-1,0,0,0,No,0,0,0,-1,-1,1,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"If yes, more likely to be comfortable with online sharing."
18,Do you wear a watch?,Yes,0,0,1,0,0,0,-1,1,1,No,0,0,-1,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,Fashion vs Functional
19,Have you ever invested in the stock market?,Yes,1,-1,0,0,0,0,-1,-1,1,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"If yes, willing to take risks and could try new things; No probably safer with money, less willing to try new things."
20,Have you ever paid for a fashion magazine,Yes,0,0,1,0,1,0,0,0,0,No,0,0,-1,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,
21,Have you ever purchased anything from an infomercial?,Yes,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"Impulsive buyer, if Yes"
22,Have you looked at retirement plans?,Yes,-1,1,0,0,0,0,-1,-1,1,No,0,0,0,0,0,0,1,1,-1,-,-,-,-,-,-,-,-,-,-,Skip Question,"If yes, money conscious"
23,Have you started a venture?,Yes,0,0,0,1,1,-1,-1,1,1,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,Leader 
24,Have you written a short story,Yes,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,Innovative
25,How many different ring tones do you use at one time on your cellphone?,More than one,0,0,1,0,0,0,0,0,0,Just one,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,
26,How many friends do you have on facebook?,Under a few hundred,0,0,0,0,0,0,0,0,0,A few hundred or more,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"The more friends he has, the more social he is. A social person is more likely to be influenced by other people's ideas."
27,"If I give you 10 tasks, would you like:",Finish one before touching another one.,0,0,0,0,0,0,0,0,0,Tackle and make progress with many of the tasks at once.,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"If one chooses A, he is probably a person without a good patience. When choosing a product, he tends to choose from the products that has a shorter delivery time. (Like Amazon Prime)."
28,Which shape do you prefer?,Square,0,0,0,0,0,0,0,0,0,Circle,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,
29,"When you visit another city where friends live, is your general preference to",Stay overnight at the friends¡¯ home.. it saves money and we¡¯ll be spending time together anyway!,-1,1,0,0,0,0,0,0,-1,Stay in a hotel or elsewhereÿ even with good friends I like to have my own space.,1,-1,0,0,0,0,-1,-1,1,-,-,-,-,-,-,-,-,-,-,Skip Question,
30,Which of the following sports do you like better?,{basketball football badminton},0,0,0,0,0,0,0,0,0,{swimming running bodybuilding},0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"A is a set of team sports while B is not. If one chooses A, he is more like a social people, and more likely to be influenced by other people's reviews."
31,Which one do you like better?,Zebra,0,0,1,0,0,0,0,0,0,Horse,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"If one likes horse, he may want the products that have pure color."
32,Which one do you like better?,SUV,0,0,0,0,0,0,0,0,0,Compact Car,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"If one chooses B, he may like pretty things."
33,Which type of mouse do you prefer?,Wired,-1,1,0,-1,-1,1,0,0,0,Wireless,0,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,
34,Would you rather use a watch or a cellphone to find out what time it is?,Watch,0,0,1,-1,0,0,0,0,1,Cellphone,0,0,0,1,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"If you choose to buy a watch, you may would like to spend more money on a product for better quality."
35,Would you ever go skydiving?,Yes,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,"If yes, probably more adventurous"
36,Would you pay more for designer products,Yes,1,-1,1,0,1,0,0,0,0,No,-1,1,-1,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,Fashion vs. No Fashion
37,Do you have TV service?,"Yes (cable, satellite, etc.)",1,-1,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,Skip Question,
38,Do you have a beverage within arm's reach of you right now?,"Yes, in a glass, mug, cup, or other container",0,0,0,0,0,0,0,0,0,"Yes, in original store packaging",0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,Skip Question,
39,Which city would you prefer to live in?,New York City,1,-1,1,0,0,0,0,0,0,Los Angeles,0,0,1,0,0,0,0,0,0,Neither,0,0,0,0,0,0,0,0,0,Skip Question,
,,1 Count,9,3,10,5,5,1,1,5,8,1 Count,3,2,4,3,0,2,1,1,1,1 Count,0,0,0,0,0,0,0,0,0,,
,,-1 Count,3,9,1,2,1,3,7,3,1,-1 Count,3,2,3,2,2,0,1,1,1,-1 Count,0,0,1,0,0,0,0,0,0,,
,,Total Count,12,12,11,7,6,4,8,8,9,Total Count,6,4,7,5,2,2,2,2,2,Total Count,0,0,1,0,0,0,0,0,0,,
